pid,fig,png,mode,ink,kind,box,n_free,n_clipped,candidates,selected_x,selected_run,reason,search_to,need_overlap,orphan,w,h,outcome,n_candidates,nearest,panel,side,gap,reach,accepted,c_data_no_axis,c_rows,c_caption,c_baseline,c_coords,c_regular,why_data_no_axis,why_rows,why_caption,why_baseline,why_coords,why_regular,grown,score,n_rows,spine_x,baseline_y,status,n_labels,n_bars,fragment,source
475,Fig. 1,ID475__fig1.png,OFF,140,AXIS_CANDIDATES,"609,967,31,301",0,1,645:63-327:clipped,645,63-327,no free run; leftmost of 1 clipped,823,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Fig. 1,ID475__fig1.png,OFF,140,AXIS_CANDIDATES,"428,500,834,951",0,2,444:834-951:clipped;445:834-951:clipped,444,834-951,no free run; leftmost of 2 clipped,471,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Fig. 1,ID475__fig1.png,OFF,140,AXIS_CANDIDATES,"428,500,510,664",0,4,445:510-630:clipped;446:510-630:clipped;465:510-573:clipped;466:510-573:clipped,445,510-630,no free run; leftmost of 4 clipped,471,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Fig. 1,ID475__fig1.png,OFF,140,AXIS_CANDIDATES,"612,967,403,619",3,1,679:513-618:free;795:406-514:free;796:406-514:free;678:513-619:clipped,679,513-618,leftmost of 3 free runs,825,64.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Fig. 1,ID475__fig1.png,OFF,140,AXIS_CANDIDATES,"609,967,738,938",2,2,679:835-937:free;680:835-937:free;796:835-938:clipped;797:835-938:clipped,679,835-937,leftmost of 2 free runs,823,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Fig. 1,ID475__fig1.png,OFF,140,ORPHAN,,,,,,,,,,"106,501,27,297",395,270,NO_PANEL_IN_REACH,0,left 108px share 0.99 reach 34 [gap] | overlap 0px share 0.00 reach 34 [share],,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Fig. 1,ID475__fig1.png,OFF,140,ORPHAN,,,,,,,,,,"142,487,317,341",345,24,NO_PANEL_IN_REACH,0,left 122px share 0.00 reach 34 [gap] [share] | overlap 0px share 0.00 reach 34 [share],,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Fig. 1,ID475__fig1.png,OFF,140,ORPHAN,,,,,,,,,,"99,384,370,664",285,294,NO_PANEL_IN_REACH,0,left 44px share 1.00 reach 34 [gap],,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Fig. 1,ID475__fig1.png,OFF,140,ORPHAN,,,,,,,,,,"92,273,695,975",181,280,NO_PANEL_IN_REACH,0,left 155px share 1.00 reach 34 [gap],,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Fig. 1,ID475__fig1.png,OFF,140,ORPHAN,,,,,,,,,,"311,383,834,975",72,141,NO_PANEL_IN_REACH,0,left 45px share 1.00 reach 34 [gap],,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Fig. 1,ID475__fig1.png,OFF,140,ORPHAN,,,,,,,,,,"435,469,961,975",34,14,NO_PANEL_IN_REACH,0,left 140px share 0.00 reach 34 [gap] [share] | overlap 0px share 0.00 reach 34 [share],,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Fig. 1,ID475__fig1.png,OFF,140,ORPHAN,,,,,,,,,,"572,590,116,273",18,157,OFFERED,,,"609,967,31,301",left,19,34,,,,,,,,,,,,,,,,,,,,,,,
475,Fig. 1,ID475__fig1.png,OFF,140,GATE,,,,,,,,,,"572,590,116,273",,,,,,"609,967,31,301",left,19,,True,O,O,-,X,O,-,,,,,,,,,,,,,,,,
475,Fig. 1,ID475__fig1.png,OFF,140,GATE_WHY,,,,,,,,,,"572,590,116,273",,,,,,"609,967,31,301",,,,,,,,,,,"축 없음, 잉크 0.337","행 겹침 1.00, 패널 행 31-327, 조각 116-273",이 클립에서 캡션을 읽지 못했다,"건너는 간격 59 px, 패널 내부의 가장 큰 간격 1 px","밑변에 선 열 0.00, 축 범위 안 잉크 1.00 (교집합 1.00)",막대·눈금이 0→0개뿐이라 규칙성을 잴 수 없다,,,,,,,,,,
475,Fig. 1,ID475__fig1.png,OFF,140,POST,,,,,,,,,,"572,590,116,273",,,ADOPTED,,,"609,967,31,301",,,,,,,,,,,,,,,,,"572,967,31,301",,,,,,,,,
475,Fig. 1,ID475__fig1.png,OFF,140,ORPHAN,,,,,,,,,,"609,831,320,341",222,21,NO_PANEL_IN_REACH,0,overlap 0px share 0.00 reach 34 [share] | right 109px share 0.00 reach 34 [gap] [share],,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Fig. 1,ID475__fig1.png,OFF,140,ORPHAN,,,,,,,,,,"924,944,326,341",20,15,NO_PANEL_IN_REACH,0,overlap 0px share 0.00 reach 34 [share] | right 424px share 0.00 reach 34 [gap] [share],,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Fig. 1,ID475__fig1.png,OFF,140,ORPHAN,,,,,,,,,,"565,850,373,669",285,296,NO_PANEL_IN_REACH,0,overlap 0px share 1.00 reach 34 | right 65px share 1.00 reach 34 [gap],,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Fig. 1,ID475__fig1.png,OFF,140,ORPHAN,,,,,,,,,,"553,852,695,981",299,286,NO_PANEL_IN_REACH,0,overlap 0px share 1.00 reach 61 | right 53px share 1.00 reach 34 [gap],,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Fig. 1,ID475__fig1.png,OFF,140,ORPHAN,,,,,,,,,,"895,969,403,880",74,477,NO_PANEL_IN_REACH,0,overlap 0px share 1.00 reach 34 | right 395px share 1.00 reach 34 [gap],,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Fig. 1,ID475__fig1.png,OFF,140,ORPHAN,,,,,,,,,,"924,944,966,981",20,15,NO_PANEL_IN_REACH,0,overlap 0px share 0.00 reach 34 [share] | right 424px share 0.00 reach 34 [gap] [share],,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Fig. 1,ID475__fig1.png,OFF,140,AXIS_CANDIDATES,"191,490,27,145",0,0,,,,no run long enough,370,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Fig. 1,ID475__fig1.png,OFF,140,AXIS_CANDIDATES,"191,501,145,225",0,7,216:171-226:clipped;217:171-226:clipped;236:176-225:clipped;237:174-226:clipped;269:174-226:clipped;270:175-225:clipped;352:172-226:clipped,216,171-226,no free run; leftmost of 7 clipped,377,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Fig. 1,ID475__fig1.png,OFF,140,AXIS_CANDIDATES,"197,500,225,341",0,2,331:224-277:clipped;332:224-277:clipped,331,224-277,no free run; leftmost of 2 clipped,378,34.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Fig. 1,ID475__fig1.png,OFF,140,AXIS_CANDIDATES,"191,500,375,511",0,2,328:448-512:clipped;329:448-512:clipped,328,448-512,no free run; leftmost of 2 clipped,376,40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Fig. 1,ID475__fig1.png,OFF,140,AXIS_CANDIDATES,"192,500,511,720",2,4,249:559-627:free;250:559-627:free;212:510-575:clipped;213:510-575:clipped;349:510-576:clipped;350:510-576:clipped,249,559-627,leftmost of 2 free runs,376,62.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Fig. 1,ID475__fig1.png,OFF,140,AXIS_CANDIDATES,"194,500,834,975",5,2,247:852-916:free;248:852-916:free;249:852-916:free;364:865-921:free;365:865-921:free;327:834-879:clipped;328:834-879:clipped,247,852-916,leftmost of 5 free runs,377,42.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Fig. 1,ID475__fig1.png,OFF,140,ORPHAN,,,,,,,,,,"106,501,27,297",395,270,NO_PANEL_IN_REACH,0,overlap 0px share 1.00 reach 34,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Fig. 1,ID475__fig1.png,OFF,140,ORPHAN,,,,,,,,,,"142,487,317,341",345,24,NO_PANEL_IN_REACH,0,overlap 0px share 1.00 reach 34,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Fig. 1,ID475__fig1.png,OFF,140,ORPHAN,,,,,,,,,,"99,384,370,664",285,294,NO_PANEL_IN_REACH,0,overlap 0px share 1.00 reach 44,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Fig. 1,ID475__fig1.png,OFF,140,ORPHAN,,,,,,,,,,"92,273,695,975",181,280,NO_PANEL_IN_REACH,0,overlap 0px share 1.00 reach 34,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Fig. 1,ID475__fig1.png,OFF,140,ORPHAN,,,,,,,,,,"311,383,834,975",72,141,NO_PANEL_IN_REACH,0,overlap 0px share 1.00 reach 34,,,,,,,,,,,,,,,,,,,,,,,,,,,
