Figure_UID,Factor_Name,Factor_Level,Level_Order,Note
323|FIGURE 1|SAP,TIMEPOINT,B-1,0,
323|FIGURE 1|SAP,TIMEPOINT,DI7,1,
323|FIGURE 1|SAP,TIMEPOINT,DI14,2,
323|FIGURE 1|SAP,TIMEPOINT,DI19,3,
323|FIGURE 1|SAP,TIMEPOINT,R1,4,
323|FIGURE 1|SAP,TIMEPOINT,R5,5,
323|FIGURE 1|SAP,POSTURE,SUPINE,0,
323|FIGURE 1|SAP,POSTURE,ORTHOSTASIS,1,
323|FIGURE 1|DAP,TIMEPOINT,B-1,0,
323|FIGURE 1|DAP,TIMEPOINT,DI7,1,
323|FIGURE 1|DAP,TIMEPOINT,DI14,2,
323|FIGURE 1|DAP,TIMEPOINT,DI19,3,
323|FIGURE 1|DAP,TIMEPOINT,R1,4,
323|FIGURE 1|DAP,TIMEPOINT,R5,5,
323|FIGURE 1|DAP,POSTURE,SUPINE,0,
323|FIGURE 1|DAP,POSTURE,ORTHOSTASIS,1,
323|FIGURE 1|MAP,TIMEPOINT,B-1,0,
323|FIGURE 1|MAP,TIMEPOINT,DI7,1,
323|FIGURE 1|MAP,TIMEPOINT,DI14,2,
323|FIGURE 1|MAP,TIMEPOINT,DI19,3,
323|FIGURE 1|MAP,TIMEPOINT,R1,4,
323|FIGURE 1|MAP,TIMEPOINT,R5,5,
323|FIGURE 1|MAP,POSTURE,SUPINE,0,
323|FIGURE 1|MAP,POSTURE,ORTHOSTASIS,1,
323|FIGURE 1|PAP,TIMEPOINT,B-1,0,
323|FIGURE 1|PAP,TIMEPOINT,DI7,1,
323|FIGURE 1|PAP,TIMEPOINT,DI14,2,
323|FIGURE 1|PAP,TIMEPOINT,DI19,3,
323|FIGURE 1|PAP,TIMEPOINT,R1,4,
323|FIGURE 1|PAP,TIMEPOINT,R5,5,
323|FIGURE 1|PAP,POSTURE,SUPINE,0,
323|FIGURE 1|PAP,POSTURE,ORTHOSTASIS,1,
323|FIGURE 1|HR,TIMEPOINT,B-1,0,
323|FIGURE 1|HR,TIMEPOINT,DI7,1,
323|FIGURE 1|HR,TIMEPOINT,DI14,2,
323|FIGURE 1|HR,TIMEPOINT,DI19,3,
323|FIGURE 1|HR,TIMEPOINT,R1,4,
323|FIGURE 1|HR,TIMEPOINT,R5,5,
323|FIGURE 1|HR,POSTURE,SUPINE,0,
323|FIGURE 1|HR,POSTURE,ORTHOSTASIS,1,
323|FIGURE 1|SV,TIMEPOINT,B-1,0,
323|FIGURE 1|SV,TIMEPOINT,DI7,1,
323|FIGURE 1|SV,TIMEPOINT,DI14,2,
323|FIGURE 1|SV,TIMEPOINT,DI19,3,
323|FIGURE 1|SV,TIMEPOINT,R1,4,
323|FIGURE 1|SV,TIMEPOINT,R5,5,
323|FIGURE 1|SV,POSTURE,SUPINE,0,
323|FIGURE 1|SV,POSTURE,ORTHOSTASIS,1,
