Figure_UID,Cell_Key,Mean_R1,Dispersion_R1,Mean_R2,Dispersion_R2,Mean,Dispersion_Value,Errorbar_Lower,Errorbar_Upper,Events_R1,Events_R2,Events,N_at_Risk_R1,N_at_Risk_R2,N_at_Risk,Association_Type,Association_Value_R1,Association_Value_R2,Association_Value,CI_Lower,CI_Upper,P_Value,N_Pairs,Note
323|FIGURE 1|SAP,POSTURE=ORTHOSTASIS;TIMEPOINT=B-1,,,,,116.907,4.4,,,,,,,,,,,,,,,,,
323|FIGURE 1|SAP,POSTURE=ORTHOSTASIS;TIMEPOINT=DI7,,,,,111.848,4.4,,,,,,,,,,,,,,,,,
323|FIGURE 1|SAP,POSTURE=ORTHOSTASIS;TIMEPOINT=DI14,,,,,96.889,4.84,,,,,,,,,,,,,,,,,
323|FIGURE 1|SAP,POSTURE=ORTHOSTASIS;TIMEPOINT=DI19,,,,,106.788,4.18,,,,,,,,,,,,,,,,,
323|FIGURE 1|SAP,POSTURE=ORTHOSTASIS;TIMEPOINT=R1,,,,,104.808,3.74,,,,,,,,,,,,,,,,,
323|FIGURE 1|SAP,POSTURE=ORTHOSTASIS;TIMEPOINT=R5,,,,,117.127,2.64,,,,,,,,,,,,,,,,,
323|FIGURE 1|SAP,POSTURE=SUPINE;TIMEPOINT=B-1,,,,,124.607,2.64,,,,,,,,,,,,,,,,,
323|FIGURE 1|SAP,POSTURE=SUPINE;TIMEPOINT=DI7,,,,,127.247,2.86,,,,,,,,,,,,,,,,,
323|FIGURE 1|SAP,POSTURE=SUPINE;TIMEPOINT=DI14,,,,,117.567,2.64,,,,,,,,,,,,,,,,,
323|FIGURE 1|SAP,POSTURE=SUPINE;TIMEPOINT=DI19,,,,,121.087,2.2,,,,,,,,,,,,,,,,,
323|FIGURE 1|SAP,POSTURE=SUPINE;TIMEPOINT=R1,,,,,114.488,2.42,,,,,,,,,,,,,,,,,
323|FIGURE 1|SAP,POSTURE=SUPINE;TIMEPOINT=R5,,,,,121.087,2.42,,,,,,,,,,,,,,,,,
323|FIGURE 1|DAP,POSTURE=ORTHOSTASIS;TIMEPOINT=B-1,,,,,75.913,2.251,,,,,,,,,,,,,,,,,
323|FIGURE 1|DAP,POSTURE=ORTHOSTASIS;TIMEPOINT=DI7,,,,,81.341,2.648,,,,,,,,,,,,,,,,,
323|FIGURE 1|DAP,POSTURE=ORTHOSTASIS;TIMEPOINT=DI14,,,,,73.398,2.383,,,,,,,,,,,,,,,,,
323|FIGURE 1|DAP,POSTURE=ORTHOSTASIS;TIMEPOINT=DI19,,,,,79.885,2.78,,,,,,,,,,,,,,,,,
323|FIGURE 1|DAP,POSTURE=ORTHOSTASIS;TIMEPOINT=R1,,,,,78.429,2.648,,,,,,,,,,,,,,,,,
323|FIGURE 1|DAP,POSTURE=ORTHOSTASIS;TIMEPOINT=R5,,,,,77.899,2.383,,,,,,,,,,,,,,,,,
323|FIGURE 1|DAP,POSTURE=SUPINE;TIMEPOINT=B-1,,,,,75.649,1.721,,,,,,,,,,,,,,,,,
