Unit_ID,Cell_Key,Mean_R1,Dispersion_R1,Mean_R2,Dispersion_R2,Mean,Dispersion_Value,Errorbar_Lower,Errorbar_Upper,Events_R1,Events_R2,Events,N_at_Risk_R1,N_at_Risk_R2,N_at_Risk,Events_Comparator_R1,Events_Comparator_R2,Events_Comparator,N_at_Risk_Comparator_R1,N_at_Risk_Comparator_R2,N_at_Risk_Comparator,Effect_Measure,Association_Type,Association_Value_R1,Association_Value_R2,Association_Value,CI_Lower,CI_Upper,P_Value,N_Pairs,P_Value_Method,P_Value_Extraction_Method,Ties_Present,Point_Data_Reference,Median_R1,Median_R2,Median,Q1_R1,Q1_R2,Q1,Q3_R1,Q3_R2,Q3,Whisker_Lower_R1,Whisker_Lower_R2,Whisker_Lower,Whisker_Upper_R1,Whisker_Upper_R2,Whisker_Upper,Errorbar_Stem_Confirmed,Bar_Top_Definition,Bar_Direction,Position_Assignment,Calibration_Max_Residual,Slot_Assignment_Residual_Px,WPD_Project_File,Verification_Status,Reconciliation_Note,Note
323|FIG1|SAP,POSTURE=ORTHOSTASIS;TIMEPOINT=B-1,117.337,4.402,117.557,4.182,117.447,4.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RECONCILED,Two raster readers reconciled to their midpoint,
323|FIG1|SAP,POSTURE=ORTHOSTASIS;TIMEPOINT=DI7,112.274,4.402,112.495,4.182,112.385,4.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RECONCILED,Two raster readers reconciled to their midpoint,
323|FIG1|SAP,POSTURE=ORTHOSTASIS;TIMEPOINT=DI14,97.306,4.843,97.306,4.843,97.306,4.843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RECONCILED,Two raster readers reconciled to their midpoint,
323|FIG1|SAP,POSTURE=ORTHOSTASIS;TIMEPOINT=DI19,107.212,4.182,107.432,3.962,107.322,4.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RECONCILED,Two raster readers reconciled to their midpoint,
323|FIG1|SAP,POSTURE=ORTHOSTASIS;TIMEPOINT=R1,105.23,3.742,105.451,3.522,105.34,3.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RECONCILED,Two raster readers reconciled to their midpoint,
323|FIG1|SAP,POSTURE=ORTHOSTASIS;TIMEPOINT=R5,117.557,2.641,117.778,2.421,117.668,2.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RECONCILED,Two raster readers reconciled to their midpoint,
323|FIG1|SAP,POSTURE=SUPINE;TIMEPOINT=B-1,125.042,2.641,125.042,2.641,125.042,2.641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RECONCILED,Two raster readers reconciled to their midpoint,
323|FIG1|SAP,POSTURE=SUPINE;TIMEPOINT=DI7,127.683,2.862,127.683,2.862,127.683,2.862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RECONCILED,Two raster readers reconciled to their midpoint,
323|FIG1|SAP,POSTURE=SUPINE;TIMEPOINT=DI14,117.998,2.641,118.218,2.421,118.108,2.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RECONCILED,Two raster readers reconciled to their midpoint,
323|FIG1|SAP,POSTURE=SUPINE;TIMEPOINT=DI19,121.52,2.201,121.52,1.761,121.52,1.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RECONCILED,Two raster readers reconciled to their midpoint,
323|FIG1|SAP,POSTURE=SUPINE;TIMEPOINT=R1,114.916,2.421,115.136,2.201,115.026,2.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RECONCILED,Two raster readers reconciled to their midpoint,
323|FIG1|SAP,POSTURE=SUPINE;TIMEPOINT=R5,121.52,2.421,121.74,2.201,121.63,2.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RECONCILED,Two raster readers reconciled to their midpoint,
323|FIG1|DAP,POSTURE=ORTHOSTASIS;TIMEPOINT=B-1,76.123,2.247,76.256,2.115,76.19,2.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RECONCILED,Two raster readers reconciled to their midpoint,
323|FIG1|DAP,POSTURE=ORTHOSTASIS;TIMEPOINT=DI7,81.542,2.643,81.542,2.643,81.542,2.643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RECONCILED,Two raster readers reconciled to their midpoint,
323|FIG1|DAP,POSTURE=ORTHOSTASIS;TIMEPOINT=DI14,73.612,2.379,73.744,2.247,73.678,2.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RECONCILED,Two raster readers reconciled to their midpoint,
323|FIG1|DAP,POSTURE=ORTHOSTASIS;TIMEPOINT=DI19,80.088,2.775,80.088,2.775,80.088,2.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RECONCILED,Two raster readers reconciled to their midpoint,
323|FIG1|DAP,POSTURE=ORTHOSTASIS;TIMEPOINT=R1,78.634,2.643,78.767,2.511,78.701,2.577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RECONCILED,Two raster readers reconciled to their midpoint,
323|FIG1|DAP,POSTURE=ORTHOSTASIS;TIMEPOINT=R5,78.106,2.379,78.106,2.379,78.106,2.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RECONCILED,Two raster readers reconciled to their midpoint,
323|FIG1|DAP,POSTURE=SUPINE;TIMEPOINT=B-1,75.859,1.718,75.859,1.718,75.859,1.718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RECONCILED,Two raster readers reconciled to their midpoint,
323|FIG1|DAP,POSTURE=SUPINE;TIMEPOINT=DI7,82.203,2.247,82.203,2.247,82.203,2.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RECONCILED,Two raster readers reconciled to their midpoint,
323|FIG1|DAP,POSTURE=SUPINE;TIMEPOINT=DI14,79.163,1.718,79.163,1.718,79.163,1.718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RECONCILED,Two raster readers reconciled to their midpoint,
