Grid_ID,Factor_Name,Factor_Level,Level_Order,Note
GRID|SESSION6xPOSTURE2,TIMEPOINT,B-1,0,
GRID|SESSION6xPOSTURE2,TIMEPOINT,DI7,1,
GRID|SESSION6xPOSTURE2,TIMEPOINT,DI14,2,
GRID|SESSION6xPOSTURE2,TIMEPOINT,DI19,3,
GRID|SESSION6xPOSTURE2,TIMEPOINT,R1,4,
GRID|SESSION6xPOSTURE2,TIMEPOINT,R5,5,
GRID|SESSION6xPOSTURE2,POSTURE,SUPINE,0,
GRID|SESSION6xPOSTURE2,POSTURE,ORTHOSTASIS,1,
GRID|SESSION6,TIMEPOINT,B-1,0,
GRID|SESSION6,TIMEPOINT,DI7,1,
GRID|SESSION6,TIMEPOINT,DI14,2,
GRID|SESSION6,TIMEPOINT,DI19,3,
GRID|SESSION6,TIMEPOINT,R1,4,
GRID|SESSION6,TIMEPOINT,R5,5,
