Unit_ID,Figure_ID,Grid_ID,Panel,Outcome_Variable,Outcome_Domain,Unit,Statistic_Type,Display_Hint,Grid_Rule,Sparse_Justification,Dispersion_Type,Errorbar_Definition_Source,N_Outcome,Value_Scale,Analysis_Transformation,Distribution_Shape,Transformation_Source,Extraction_Method,Bar_Top_Definition,Errorbar_Stem_Confirmed,Axis_X_Scale,Axis_Y_Scale,Axis_Calib_X1_Value,Axis_Calib_X1_Pixel,Axis_Calib_X2_Value,Axis_Calib_X2_Pixel,Axis_Calib_Y1_Value,Axis_Calib_Y1_Pixel,Axis_Calib_Y2_Value,Axis_Calib_Y2_Pixel,Extractor_1,Extractor_2,Independent_Verification_Status,Discrepancy_Note,Date,Note
323|FIG1|SAP,323|FIG1,GRID|SESSION6xPOSTURE2,SAP,Systolic blood pressure,CV_HEMO,mmHg,CONTINUOUS,UNSPECIFIED,FULL,,SEM,"caption: ""Data are given for a group of 10 subjects (Mean +/- SEM)""",10,RATIO,UNTRANSFORMED,UNKNOWN,,DIGITIZED,OUTLINE_CENTER,TRUE,LINEAR,LINEAR,0,90,1,960,0,522.0,150,181.0,bar_reader (row-profile),crosscheck_id323 (column-scan median),RECONCILED,"Two independent readers of the same raster; the consensus is their midpoint. Cap-stroke centring differs by up to ~2.5 px, so dispersions can differ by more than the 5% tolerance on small error bars.",2026-08-06,
323|FIG1|DAP,323|FIG1,GRID|SESSION6xPOSTURE2,DAP,Diastolic blood pressure,CV_HEMO,mmHg,CONTINUOUS,UNSPECIFIED,FULL,,SEM,"caption: ""Data are given for a group of 10 subjects (Mean +/- SEM)""",10,RATIO,UNTRANSFORMED,UNKNOWN,,DIGITIZED,OUTLINE_CENTER,TRUE,LINEAR,LINEAR,0,1100,1,1950,0,520.0,90,179.5,bar_reader (row-profile),crosscheck_id323 (column-scan median),RECONCILED,"Two independent readers of the same raster; the consensus is their midpoint. Cap-stroke centring differs by up to ~2.5 px, so dispersions can differ by more than the 5% tolerance on small error bars.",2026-08-06,
323|FIG1|MAP,323|FIG1,GRID|SESSION6xPOSTURE2,MAP,Mean arterial pressure,CV_HEMO,mmHg,CONTINUOUS,UNSPECIFIED,FULL,,SEM,"caption: ""Data are given for a group of 10 subjects (Mean +/- SEM)""",10,RATIO,UNTRANSFORMED,UNKNOWN,,DIGITIZED,OUTLINE_CENTER,TRUE,LINEAR,LINEAR,0,90,1,960,0,1042.0,120,701.5,bar_reader (row-profile),crosscheck_id323 (column-scan median),RECONCILED,"Two independent readers of the same raster; the consensus is their midpoint. Cap-stroke centring differs by up to ~2.5 px, so dispersions can differ by more than the 5% tolerance on small error bars.",2026-08-06,
323|FIG1|PAP,323|FIG1,GRID|SESSION6xPOSTURE2,PAP,Pulse pressure,CV_HEMO,mmHg,CONTINUOUS,UNSPECIFIED,FULL,,SEM,"caption: ""Data are given for a group of 10 subjects (Mean +/- SEM)""",10,RATIO,UNTRANSFORMED,UNKNOWN,,DIGITIZED,OUTLINE_CENTER,TRUE,LINEAR,LINEAR,0,1100,1,1950,0,1043.0,60,703.0,bar_reader (row-profile),crosscheck_id323 (column-scan median),RECONCILED,"Two independent readers of the same raster; the consensus is their midpoint. Cap-stroke centring differs by up to ~2.5 px, so dispersions can differ by more than the 5% tolerance on small error bars.",2026-08-06,
323|FIG1|HR,323|FIG1,GRID|SESSION6xPOSTURE2,HR,Heart rate,CV_HEMO,bpm,CONTINUOUS,UNSPECIFIED,FULL,,SEM,"caption: ""Data are given for a group of 10 subjects (Mean +/- SEM)""",10,RATIO,UNTRANSFORMED,UNKNOWN,,DIGITIZED,OUTLINE_CENTER,TRUE,LINEAR,LINEAR,0,90,1,960,0,1633.0,150,1291.5,bar_reader (row-profile),crosscheck_id323 (column-scan median),RECONCILED,"Two independent readers of the same raster; the consensus is their midpoint. Cap-stroke centring differs by up to ~2.5 px, so dispersions can differ by more than the 5% tolerance on small error bars.",2026-08-06,
323|FIG1|SV,323|FIG1,GRID|SESSION6xPOSTURE2,SV,Stroke volume,CV_HEMO,ml,CONTINUOUS,UNSPECIFIED,FULL,,SEM,"caption: ""Data are given for a group of 10 subjects (Mean +/- SEM)""",10,RATIO,UNTRANSFORMED,UNKNOWN,,DIGITIZED,OUTLINE_CENTER,TRUE,LINEAR,LINEAR,0,1100,1,1950,0,1635.5,120,1294.5,bar_reader (row-profile),crosscheck_id323 (column-scan median),RECONCILED,"Two independent readers of the same raster; the consensus is their midpoint. Cap-stroke centring differs by up to ~2.5 px, so dispersions can differ by more than the 5% tolerance on small error bars.",2026-08-06,
323|FIG2|SAP,323|FIG2,GRID|SESSION6,SAP,Change of systolic arterial pressure,CV_HEMO,%,CONTINUOUS,UNSPECIFIED,FULL,,SEM,"caption: ""Data are given for a group of 10 subjects (Mean +/- SEM)""",10,CHANGE,UNTRANSFORMED,UNKNOWN,,DIGITIZED,OUTLINE_CENTER,TRUE,LINEAR,LINEAR,0,90,1,960,-25,378.0,0,38.0,bar_reader (row-profile),crosscheck_id323 (column-scan median),RECONCILED,"Two independent readers of the same raster; the consensus is their midpoint. Cap-stroke centring differs by up to ~2.5 px, so dispersions can differ by more than the 5% tolerance on small error bars.",2026-08-06,
323|FIG2|DAP,323|FIG2,GRID|SESSION6,DAP,Change of diastolic arterial pressure,CV_HEMO,%,CONTINUOUS,UNSPECIFIED,FULL,,SEM,"caption: ""Data are given for a group of 10 subjects (Mean +/- SEM)""",10,CHANGE,UNTRANSFORMED,UNKNOWN,,DIGITIZED,OUTLINE_CENTER,TRUE,LINEAR,LINEAR,0,1090,1,1950,-15,383.0,10,43.0,bar_reader (row-profile),crosscheck_id323 (column-scan median),RECONCILED,"Two independent readers of the same raster; the consensus is their midpoint. Cap-stroke centring differs by up to ~2.5 px, so dispersions can differ by more than the 5% tolerance on small error bars.",2026-08-06,
323|FIG2|MAP,323|FIG2,GRID|SESSION6,MAP,Change of mean arterial pressure,CV_HEMO,%,CONTINUOUS,UNSPECIFIED,FULL,,SEM,"caption: ""Data are given for a group of 10 subjects (Mean +/- SEM)""",10,CHANGE,UNTRANSFORMED,UNKNOWN,,DIGITIZED,OUTLINE_CENTER,TRUE,LINEAR,LINEAR,0,90,1,960,-20,924.0,5,583.5,bar_reader (row-profile),crosscheck_id323 (column-scan median),RECONCILED,"Two independent readers of the same raster; the consensus is their midpoint. Cap-stroke centring differs by up to ~2.5 px, so dispersions can differ by more than the 5% tolerance on small error bars.",2026-08-06,
323|FIG2|PAP,323|FIG2,GRID|SESSION6,PAP,Change of pulse pressure,CV_HEMO,%,CONTINUOUS,UNSPECIFIED,FULL,,SEM,"caption: ""Data are given for a group of 10 subjects (Mean +/- SEM)""",10,CHANGE,UNTRANSFORMED,UNKNOWN,,DIGITIZED,OUTLINE_CENTER,TRUE,LINEAR,LINEAR,0,1090,1,1950,-50,922.5,0,582.0,bar_reader (row-profile),crosscheck_id323 (column-scan median),RECONCILED,"Two independent readers of the same raster; the consensus is their midpoint. Cap-stroke centring differs by up to ~2.5 px, so dispersions can differ by more than the 5% tolerance on small error bars.",2026-08-06,
